activity_final,type_final,species_final,age_final,injury_final,final_date,country,state,location,sex
fishing,provoked,other shark,39.0,injured,2016-05-02,new zealand,north island,cormandel,M
swimming,unprovoked,other shark,33.0,injured,,usa,louisiana,,F
surfing,unprovoked,bull shark,24.0,injured,2016-04-25,indonesia,bali,balian,M
surfing,unprovoked,unknown,15.0,injured,2016-04-23,usa,florida,"new smyrna beach, volusia county",M
other,unprovoked,white shark,,no injury,2016-04-22,south africa,western cape province,"robberg beach, plettenberg bay",M
swimming,unprovoked,other shark,12.0,other,2016-04-19,australia,new south wales,"first sun beach, byron bay",M
fishing,provoked,other shark,22.0,injured,2016-04-18,french polynesia,tuamotos,makemo atoll,M
fishing,provoked,other shark,26.0,injured,2016-04-18,french polynesia,tuamotos,makemo atoll,M
fishing,unprovoked,bull shark,26.0,injured,2016-04-13,usa,florida,"off singer island, palm beach county",M
other,unprovoked,tiger shark,69.0,fatal,2016-04-09,new caledonia,grand terre,poe beach,F
other,other,unknown,60.0,other,2016-04-08,cape verde,boa vista island,,M
fishing,unprovoked,other shark,34.0,injured,2016-04-07,usa,florida,"florida keys, monroe county",M
other,other,unknown,,no injury,2016-04-07,usa,florida,"corners beach, jupiter, palm beach county",M
diving,unprovoked,unknown,46.0,injured,2016-03-31,usa,hawaii,"olowalu, maui",F
surfing,unprovoked,unknown,22.0,injured,2016-03-30,australia,new south wales,bombo beach,M
other,unprovoked,unknown,,injured,2016-03-28,usa,florida,"fort myers beach, lee county",M
surfing,unprovoked,unknown,41.0,no injury,2016-03-28,australia,new south wales,north cronulla beach,M
other,provoked,other shark,9.0,injured,2016-03-26,bahamas,,,M
surfing,other,unknown,,no injury,2016-03-13,usa,california,"bolsa chica state park, orange county",
surfing,unprovoked,unknown,19.0,injured,2016-03-11,usa,florida,"vero beach, st. lucie county",M
other,unprovoked,unknown,45.0,fatal,2016-03-10,fiji,vanua levu,dawara,M
other,unprovoked,unknown,12.0,injured,2016-03-04,usa,florida,"ocean reef park, singer island, palm beach county",M
fishing,unprovoked,other,,other,2016-03-03,australia,south australia,wrights bay,M
swimming,unprovoked,tiger shark,41.0,injured,2016-03-02,brazil,santa catarina state,escalerio beach balneário camboriú,M
other,unprovoked,unknown,21.0,other,2016-02-22,new caledonia,south province,"ricaudy reef, noumea",M
fishing,unprovoked,unknown,31.0,injured,2016-02-19,new caledonia,south province,yate,M
swimming,unprovoked,unknown,,injured,2016-02-12,dominican republic,altagracia province,"bavaro beach, punta cana",F
other,other,other shark,65.0,injured,2016-02-10,cayman islands,grand cayman,stingray city bar,M
surfing,other,other shark,,no injury,2016-02-10,australia,tasmania,nettley bay,M
other,unprovoked,unknown,45.0,other,2016-02-05,australia,queensland,stradbroke island,F
surfing,unprovoked,unknown,40.0,no injury,2016-02-04,australia,new south wales,hams beach,M
swimming,unprovoked,tiger shark,41.0,injured,2016-02-02,brazil,balneário camboriú,estaleirinho beach,M
fishing,other,unknown,,no injury,2016-01-29,south africa,kwazulu-natal,,M
surfing,unprovoked,other shark,,injured,2016-01-28,usa,hawaii,"hanalei bay, kauai",M
surfing,unprovoked,unknown,15.0,no injury,2016-01-25,usa,hawaii,"hanalei bay, kauai,",F
fishing,unprovoked,bull shark,,other,2016-01-24,usa,texas,off surfside,M
fishing,other,other shark,,no injury,2016-01-24,united arab emirates,fujairah emirate,35 miles off fujairah,M
other,unprovoked,tiger shark,48.0,no injury,2016-01-23,usa,hawaii,"wailea beach, maui",M
surfing,unprovoked,other shark,,injured,2016-01-11,australia,queensland,"happy valley beach, caloundra",M
swimming,unprovoked,other shark,11.0,injured,2016-01-05,australia,queensland,heron island,M
fishing,unprovoked,other shark,31.0,injured,2016-01-02,australia,queensland,miall island,M
fishing,other,white shark,,no injury,2015-12-26,south africa,kwazulu-natal,westbrook beach,M
swimming,unprovoked,other shark,38.0,injured,2015-12-25,spain,grand canary island,"arinaga beach, aguimes, gran canaria",F
other,unprovoked,other shark,71.0,no injury,2015-12-22,usa,hawaii,la'aloa beach park,M
surfing,unprovoked,other shark,43.0,no injury,2015-12-21,australia,new south wales,bondi beach,M
diving,unprovoked,tiger shark,32.0,other,2015-12-21,brazil,pernambuco,fernano de noronha,M
other,unprovoked,unknown,58.0,fatal,2015-12-19,aruba,,boat capsized,M
fishing,other,white shark,,no injury,2015-12-13,australia,new south wales,lake macquarie,
other,unprovoked,bull shark,26.0,injured,2015-12-11,bahamas,,off andros island,M
other,unprovoked,unknown,22.0,injured,2015-12-08,south africa,eastern cape province,mpande,F
diving,unprovoked,other shark,55.0,injured,2015-11-20,ecuador,galapagos islands,"punta vicente roca, isabella island",M
surfing,unprovoked,unknown,,injured,2015-11-16,usa,florida,"playalinda beach, brevard county",M
swimming,unprovoked,unknown,,injured,2015-11-15,usa,florida,"palm beach, palm beach county",F
surfing,unprovoked,other shark,28.0,injured,2015-11-15,usa,florida,"ocean reef park, singer island, palm beach county",M
surfing,unprovoked,bull shark,20.0,injured,2015-11-10,australia,new south wales,east ballina,M
surfing,other,unknown,9.0,injured,2015-11-07,usa,florida,"paradise beach, melbourne, brevard county",F
swimming,unprovoked,unknown,54.0,injured,2015-11-03,usa,hawaii,"kehena beach, hawaii",M
swimming,unprovoked,other shark,28.0,injured,2015-11-01,usa,florida,"cocoa beach, brevard  county",F
fishing,unprovoked,unknown,19.0,injured,2015-11-01,mozambique,inhambane province,maxixe,M
fishing,unprovoked,unknown,50.0,injured,2015-10-30,australia,western australia,bald island,M
surfing,unprovoked,unknown,10.0,injured,2015-10-28,usa,hawaii,"malaka, oahu",M
surfing,unprovoked,white shark,42.0,injured,2015-10-25,south africa,western cape province,stil bay,M
surfing,unprovoked,other shark,21.0,injured,2015-10-21,usa,florida,"playalinda beach, brevard county",M
surfing,unprovoked,other shark,21.0,injured,2015-10-19,usa,florida,"deerfield beach, broward county",M
other,unprovoked,unknown,35.0,fatal,2015-10-17,mozambique,inhambane province,"nahaduga, inhambane bay",F
surfing,other,other shark,32.0,injured,2015-10-17,usa,hawaii,"waikiki,",M
swimming,unprovoked,tiger shark,44.0,injured,2015-10-17,usa,hawaii,"lanikai beach, kailua, oahu",M
fishing,other,other,,no injury,2015-10-13,usa,california,"off leffingwell landing, san luis obispo county",M
surfing,unprovoked,unknown,9.0,injured,2015-10-09,usa,south carolina,"shipyard beach club, hilton head island, beaufort county",F
surfing,unprovoked,tiger shark,25.0,injured,2015-10-09,usa,hawaii,"leftovers, oahu",M
fishing,unprovoked,unknown,,injured,2015-10-08,mozambique,inhambane province,"maxixe, inhambane bay",M
surfing,unprovoked,unknown,18.0,injured,2015-10-07,australia,western australia,pyramids beach,M
surfing,unprovoked,unknown,22.0,injured,2015-10-05,usa,florida,"pepper park beach, st. lucie county",M
swimming,unprovoked,other shark,13.0,injured,2015-10-05,usa,texas,galveston,M
surfing,unprovoked,other shark,14.0,injured,2015-10-04,usa,florida,"new smyrna beach, volusia county",M
surfing,unprovoked,other shark,22.0,injured,2015-09-29,usa,florida,"vilano beach, st.  johns county",M
diving,unprovoked,unknown,7.0,injured,2015-09-26,australia,queensland,"russel island, frankland group",F
other,other,white shark,,no injury,2015-09-24,usa,california,"horseshoe rock, santa barbara county",M
surfing,unprovoked,other shark,14.0,injured,2015-09-20,usa,florida,"new smyrna beach, volusia county",M
fishing,unprovoked,tiger shark,27.0,injured,2015-09-20,usa,hawaii,"upolu point, north kohala, big island",M
swimming,unprovoked,other shark,12.0,injured,2015-09-20,usa,florida,"fernandina beach, amelia island, nassau county",M
other,unprovoked,unknown,16.0,injured,2015-09-20,usa,florida,"vilano beach, st.  johns county",M
other,other,other shark,,no injury,2015-09-19,usa,california,"gaviota state beach, santa barbara county",M
swimming,unprovoked,unknown,,injured,2015-09-18,usa,florida,"big talbot island, duval county",M
surfing,unprovoked,unknown,20.0,injured,2015-09-17,usa,florida,"jacksonville beach, duval county",M
surfing,unprovoked,other shark,42.0,injured,2015-09-08,australia,new south wales,north shelly beach,M
other,unprovoked,white shark,50.0,no injury,2015-09-06,usa,california,"el pescador beach, los angeles county",F
other,provoked,other shark,29.0,injured,2015-09-05,usa,california,"deer creek beach, ventura county",M
other,unprovoked,white shark,62.0,other,2015-09-04,australia,new south wales,hallidays point,M
other,unprovoked,other shark,,injured,2015-09-03,usa,south carolina,"myrtle beach, horry county",M
swimming,unprovoked,other shark,37.0,injured,2015-09-01,thailand,phuket,karon beach,F
fishing,unprovoked,tiger shark,,injured,,fiji,,,M
surfing,unprovoked,white shark,54.0,no injury,2015-08-29,usa,california,"morro strand state beach, san luis obispo county",F
surfing,unprovoked,white shark,21.0,no injury,2015-08-29,usa,california,"morro bay, san luis obispo county",M
other,other,unknown,,other,2015-08-22,usa,florida,"cocoa beach, brevard  county",M
surfing,unprovoked,unknown,38.0,injured,2015-08-22,australia,new south wales,lighthouse beach,M
surfing,unprovoked,other shark,15.0,injured,2015-08-20,usa,south carolina,"murrells inlet, georgetown county",M
other,unprovoked,other shark,10.0,injured,2015-08-19,usa,florida,"jacksonville beach, duval county",F
other,other,white shark,22.0,no injury,2015-08-18,usa,california,santa barbara county,M
swimming,other,unknown,10.0,injured,2015-08-18,spain,alicante,"poniente beach, benidorm",M
fishing,provoked,other shark,57.0,injured,2015-08-10,usa,california,cortes bank,M
surfing,unprovoked,white shark,52.0,injured,2015-07-31,australia,new south wales,evans head,M
surfing,unprovoked,unknown,47.0,other,2015-07-28,costa rica,guanacaste,playa grande,M
surfing,other,unknown,40.0,injured,2015-07-27,australia,victoria,tyrendarra beach,M
surfing,unprovoked,other shark,25.0,injured,2015-07-26,usa,florida,"daytona beach, volusia county",M
other,other,unknown,35.0,other,2015-07-26,usa,south carolina,"edisto beach, colleton county",F
other,unprovoked,white shark,46.0,fatal,2015-07-25,australia,tasmania,"lachan island, mercury passage",M
other,provoked,other shark,31.0,no injury,2015-07-23,usa,california,"la jolla, san diego county",M
surfing,unprovoked,other shark,40.0,injured,2015-07-23,australia,victoria,tyrendarra beach near portland,M
surfing,unprovoked,bull shark,45.0,injured,2015-07-22,reunion,,st. leu,M
surfing,unprovoked,white shark,34.0,no injury,2015-07-19,south africa,eastern cape province,jeffrey's bay,M
surfing,unprovoked,white shark,38.0,no injury,2015-07-10,usa,california,"huntington beach, orange county",M
swimming,other,other shark,39.0,injured,2015-07-08,usa,california,"huntington beach, orange county",M
swimming,other,other shark,,injured,2015-07-06,french polynesia,bora bora,,M
fishing,unprovoked,other shark,23.0,injured,2015-07-04,bahamas,grand bahama island,"port lucaya, freeport",F
other,unprovoked,unknown,32.0,injured,2015-07-04,usa,north carolina,"off surf city, pender county",M
surfing,unprovoked,white shark,52.0,no injury,2015-07-03,australia,new south wales,lennox head,M
surfing,unprovoked,white shark,32.0,injured,2015-07-02,australia,new south wales,east ballina,M
swimming,unprovoked,other shark,68.0,injured,2015-07-01,usa,north carolina,"ocracoke, lifeguard beach, national park service, hyde county",M
surfing,unprovoked,unknown,,injured,2015-06-30,australia,new south wales,"flat rock, yamba",M
other,unprovoked,other shark,12.0,injured,2015-06-30,usa,south carolina,"isle of palms county park, isle of palms, charleston county",M
swimming,unprovoked,bull shark,18.0,injured,2015-06-27,usa,north carolina,"rodanthe, dare county",M
surfing,unprovoked,white shark,19.0,injured,2015-06-27,south africa,western cape province,buffels bay near knysna,M
swimming,other,unknown,,injured,2015-06-26,usa,florida,"jacksonville beach, duval county",F
surfing,unprovoked,white shark,23.0,injured,2015-06-26,south africa,western cape province,"lookout beach, plettenberg bay",M
swimming,unprovoked,other shark,43.0,other,2015-06-26,usa,south carolina,"south beach, hunting island state park, beaufort county",M
swimming,provoked,other shark,19.0,injured,2015-06-25,australia,western australia,rottnest island,M
other,unprovoked,unknown,47.0,injured,2015-06-25,usa,north carolina,"avon, hatteras island, outer banks, dare county",M
swimming,unprovoked,tiger shark,6.0,injured,2015-06-24,usa,north carolina,surf city,M
surfing,other,white shark,37.0,other,2015-06-24,australia,western australia,denmark,F
swimming,unprovoked,other shark,9.0,injured,2015-06-23,usa,south carolina,"st. helena island, beaufort county",M
fishing,unprovoked,unknown,36.0,injured,2015-06-19,puerto rico,,off cabo rojo,M
swimming,unprovoked,unknown,10.0,injured,2015-06-17,usa,florida,daytona beach shores,M
swimming,unprovoked,bull shark,16.0,other,2015-06-14,usa,north carolina,"oak island, brunswick county",M
swimming,unprovoked,bull shark,12.0,injured,2015-06-14,usa,north carolina,"oak island, brunswick county",F
other,unprovoked,other shark,,injured,2015-06-13,usa,california,off san diego,F
surfing,unprovoked,other shark,13.0,injured,2015-06-11,usa,north carolina,"ocean isle, brunswick county",F
other,unprovoked,bull shark,11.0,injured,2015-06-07,usa,florida,"lori wilson park, cocoa beach, brevard  county",M
other,unprovoked,other shark,17.0,other,2015-06-05,usa,florida,fort lauderdale,F
surfing,unprovoked,bull shark,47.0,injured,2015-06-01,reunion,le port,folette,M
swimming,unprovoked,unknown,14.0,injured,2015-05-29,usa,florida,"cocoa beach, brevard  county",F
swimming,unprovoked,unknown,19.0,injured,2015-05-29,usa,florida,"new smyrna beach, volusia county",F
fishing,unprovoked,other shark,19.0,injured,2015-05-25,french polynesia,rangiroa,avatoru pass,M
swimming,unprovoked,unknown,13.0,injured,2015-05-24,usa,florida,"cocoa beach, brevard  county",F
surfing,unprovoked,other shark,18.0,other,,usa,florida,"new smyrna beach, volusia county",M
other,unprovoked,other shark,30.0,injured,2015-05-15,usa,south carolina,sullivan's island,M
diving,unprovoked,bull shark,50.0,fatal,2015-05-09,new caledonia,,kouare,M
swimming,unprovoked,unknown,,injured,2015-05-07,usa,florida,"cocoa beach, brevard  county",M
surfing,unprovoked,white shark,,injured,2015-05-03,australia,new south wales,saltwater beach,M
diving,unprovoked,white shark,29.0,injured,2015-05-02,south africa,eastern cape province,port st. john's,M
diving,unprovoked,unknown,65.0,fatal,2015-04-29,usa,hawaii,kanahena cove,F
swimming,unprovoked,other shark,63.0,injured,2015-04-26,usa,florida,"resident's beach, marco island",M
surfing,unprovoked,white shark,26.0,other,2015-04-25,australia,south australia,fishery bay,M
surfing,unprovoked,white shark,71.0,no injury,2015-06-24,australia,new south wales,"belongil beach, byron bay",M
other,unprovoked,other shark,48.0,injured,2015-04-13,usa,florida,"florida keys, monroe county",M
surfing,unprovoked,bull shark,13.0,fatal,2015-04-12,reunion,saint-gilles-les-bains,cap homard,M
other,unprovoked,unknown,,injured,2015-04-11,australia,new south wales,mckenzies beach,M
fishing,unprovoked,bull shark,70.0,injured,2015-04-03,usa,florida,"3 miles off jupiter, palm beach county",M
diving,other,other shark,43.0,fatal,2015-03-29,italy,sardinia,,M
surfing,other,other shark,23.0,injured,2015-03-31,brazil,pernambuco,"praia del chifre, olinda",M
other,other,white shark,36.0,no injury,2015-03-26,south africa,eastern cape province,yellow sands point,M
swimming,unprovoked,other shark,52.0,fatal,2015-03-21,egypt,red sea protectorate,marsa alam,M
other,unprovoked,tiger shark,58.0,injured,2015-03-18,usa,hawaii,hapuna beach,M
other,unprovoked,other shark,9.0,injured,2015-03-16,french polynesia,bora bora,anau,M
